
INST_WB = xxxxxxxx, PC_DEBUG = xxxxxxxx, O_CTRL = x, O_INSN_VLD = x, O_MISPREDICT= x,, LED_REG = xxxxxxxx, RD_ADDR = xx, WB_DATA = xxxxxxxx, time =                    0
INST_WB = 00007137, PC_DEBUG = 00000000, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000000, RD_ADDR = 02, WB_DATA = 00007000, time =                   68
INST_WB = 00010113, PC_DEBUG = 00000004, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000000, RD_ADDR = 02, WB_DATA = 00007000, time =                   72
INST_WB = 0cc0006f, PC_DEBUG = 00000008, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000000, RD_ADDR = 00, WB_DATA = 0000000c, time =                   76
INST_WB = 0a0000ef, PC_DEBUG = 000000d4, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000000, RD_ADDR = 01, WB_DATA = 000000d8, time =                   92
INST_WB = 00112223, PC_DEBUG = 00000174, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000000, RD_ADDR = 04, WB_DATA = 00000000, time =                  108
INST_WB = 06100513, PC_DEBUG = 00000178, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000000, RD_ADDR = 0a, WB_DATA = 00000061, time =                  112
INST_WB = e91ff0ef, PC_DEBUG = 0000017c, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000000, RD_ADDR = 01, WB_DATA = 00000180, time =                  116
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000000, RD_ADDR = 05, WB_DATA = 10000000, time =                  132
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000000, RD_ADDR = 05, WB_DATA = 10000000, time =                  136
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000061, RD_ADDR = 00, WB_DATA = 00000000, time =                  140
aINST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000061, RD_ADDR = 00, WB_DATA = 0000001c, time =                  144
INST_WB = 06400513, PC_DEBUG = 00000180, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000061, RD_ADDR = 0a, WB_DATA = 00000064, time =                  160
INST_WB = e89ff0ef, PC_DEBUG = 00000184, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000061, RD_ADDR = 01, WB_DATA = 00000188, time =                  164
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000061, RD_ADDR = 05, WB_DATA = 10000000, time =                  180
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000061, RD_ADDR = 05, WB_DATA = 10000000, time =                  184
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000064, RD_ADDR = 00, WB_DATA = 00000000, time =                  188
dINST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000064, RD_ADDR = 00, WB_DATA = 0000001c, time =                  192
INST_WB = 06400513, PC_DEBUG = 00000188, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000064, RD_ADDR = 0a, WB_DATA = 00000064, time =                  208
INST_WB = e81ff0ef, PC_DEBUG = 0000018c, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000064, RD_ADDR = 01, WB_DATA = 00000190, time =                  212
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000064, RD_ADDR = 05, WB_DATA = 10000000, time =                  228
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000064, RD_ADDR = 05, WB_DATA = 10000000, time =                  232
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000064, RD_ADDR = 00, WB_DATA = 00000000, time =                  236
dINST_WB = 00008067, PC_DEBUG = 00000018, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000064, RD_ADDR = 00, WB_DATA = 0000001c, time =                  240
INST_WB = 02e00513, PC_DEBUG = 00000190, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000064, RD_ADDR = 0a, WB_DATA = 0000002e, time =                  256
INST_WB = e79ff0ef, PC_DEBUG = 00000194, O_CTRL = 1, O_INSN_VLD = 1, O_MISPREDICT= 1,, LED_REG = 00000064, RD_ADDR = 01, WB_DATA = 00000198, time =                  260
INST_WB = 100002b7, PC_DEBUG = 0000000c, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000064, RD_ADDR = 05, WB_DATA = 10000000, time =                  276
INST_WB = 00028293, PC_DEBUG = 00000010, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 00000064, RD_ADDR = 05, WB_DATA = 10000000, time =                  280
INST_WB = 00a28023, PC_DEBUG = 00000014, O_CTRL = 0, O_INSN_VLD = 1, O_MISPREDICT= 0,, LED_REG = 0000002e, RD_ADDR = 00, WB_DATA = 00000000, time =                  284
